Name,Artist,Topic,Lyrics
WAP,Cardi B,Sexually Explicit,"I said, certified freak Seven days a week Wet-ass pussy Make that pull-out game weak, woo Yeah, yeah, yeah, yeah Yeah, you fucking with some wet-ass pussy Bring a bucket and a mop for this wet-ass pussy Give me everything you got for this wet-ass pussy Beat it up, nigga, catch a charge Extra large and extra hard Put this pussy right in your face Swipe your nose like a credit card Hop on top, I wanna ride I do a kegel while it's inside Spit in my mouth, look in my eyes This pussy is wet, come take a dive Tie me up like I'm surprised Let's role play, I'll wear a disguise I want you to park that big Mack truck Right in this little garage Make it cream, make me scream Out in public, make a scene I don't cook, I don't clean But let me tell you how I got this ring (ayy, ayy) Gobble me, swallow me, drip down the side of me Quick, jump out 'fore you let it get inside of me I tell him where to put it, never tell him where I'm 'bout to be I'll run down on him 'fore I have a nigga running me Talk your shit, bite your lip Ask for a car while you ride that dick (while you ride that dick) You really ain't never gotta fuck him for a thang He already made his mind up 'fore he came Now get your boots and your coat For this wet-ass pussy He bought a phone just for pictures Of this wet-ass pussy Pay my tuition just to kiss me On this wet-ass pussy Now make it rain if you wanna See some wet-ass pussy Look, I need a hard hitter, I need a deep stroker I need a Henny drinker, I need a weed smoker Not a garden snake, I need a king cobra With a hook in it, hope it lean over He got some money, then that's where I'm headed Pussy A1, just like his credit He got a beard, well, I'm tryna wet it I let him taste it, now he diabetic I don't wanna spit, I wanna gulp I wanna gag, I wanna choke I want you to touch that lil' dangly thing That swing in the back of my throat My head game is fire, punani Dasani It's going in dry and it's coming out soggy I ride on that thang like the cops is behind me I spit on his mic and now he tryna sign me, woo Your honor, I'm a freak bitch, handcuffs, leashes Switch my wig, make him feel like he cheating Put him on his knees, give him something to believe in Never lost a fight, but I'm looking for a beating In the food chain, I'm the one that eat ya If he ate my ass, he's a bottom feeder Big D stand for big demeanor I could make you bust before I ever meet ya If it don't hang, then he can't bang You can't hurt my feelings, but I like pain If he fuck me and ask, ""Whose is it?"" When I ride the dick, I'ma spell my name Ah (whores in this house) Yeah, yeah, yeah Yeah, you fucking with some wet-ass pussy Bring a bucket and a mop for this wet-ass pussy Give me everything you got for this wet-ass pussy Now from the top, make it drop That's some wet-ass pussy Now get a bucket and a mop That's some wet-ass pussy I'm talking WAP, WAP, WAP That's some wet-ass pussy Macaroni in a pot That's some wet-ass pussy, huh (There's some whores in this house) (There's some whores in this house)"
Anaconda,Nicki Minaj,Sexually Explicit,"My anaconda don't My anaconda don't My anaconda don't want none Unless you got buns, hun Boy toy named Troy, used to live in Detroit Big dope dealer money, he was gettin' some coins Was in shootouts with the law, but he live in a palace Bought me Alexander McQueen, he was keeping me stylish Now that's real, real, real Gun in my purse, bitch, I came dressed to kill Who wanna go first? I had them pushin' daffodils I'm high as hell, I only took a half a pill I'm on some dumb shit By the way, what he say? He can tell I ain't missing no meals Come through and fuck him in my automobile Let him eat it with his grills he keep tellin' me to chill He keep telling me it's real, that he love my sex appeal He say he don't like em boney, he want something he can grab So I pulled up in the Jag and I hit him with the jab like Dun-d-d-dun-dun-d-d-dun-dun My anaconda don't My anaconda don't My anaconda don't want none Unless you got buns, hun Oh my gosh, look at her butt Oh my gosh, look at her butt Oh my gosh, look at her butt (Look at her butt) Look at, look at, look at, look, at her butt This dude named Michael used to ride motorcycles Dick bigger than a tower, I ain't talking about Eiffel's Real country-ass nigga, let me play with his rifle Pussy put his ass to sleep, now he calling me NyQuil Now that bang, bang, bang I let him hit it 'cause he slang cocaine He toss my salad like his name Romaine And when we done, I make him buy me Balmain I'm on some dumb shit By the way, what he say? He can tell I ain't missing no meals Come through and fuck him in my automobile Let him eat it with his grills and he telling me to chill He keep telling me it's real, that he love my sex appeal He say he don't like em boney, he want something he can grab So I pulled up in the Jag mayweather with the jab like Dun-d-d-dun-dun-d-d-dun-dun My anaconda don't My anaconda don't My anaconda don't want none Unless you got buns, hun Oh my gosh, look at her butt Oh my gosh, look at her butt Oh my gosh, look at her butt (Look at her butt) Look at, look at, look at, look, at her butt Little in the middle but she got much back Little in the middle but she got much back Little in the middle but she got much back Oh my god, look at her butt My anaconda don't My anaconda don't My anaconda don't want none Unless you got buns, hun Don't, my anaconda don't Don't want none Unless you got buns, hun Oh my gosh, look at her butt Oh my gosh, look at her butt Oh my gosh, look at her butt (Look at her butt) Look at, look at, look at, look, at her butt Yeah, he love this fat ass aha! Yeah! This one is for my Bitches with a fat ass in the fucking club I said, where my fat ass big bitches in the club? Fuck those skinny bitches! Fuck those skinny bitches in the club! I wanna see all the big fat ass Bitches in the muthafuckin' club Fuck you if you skinny bitches, what? Kyuh Aha! Kyuh I got a big fat ass (Ass, ass, ass) Kyuh Come on! Hey, hey, hey!"
Big Ole Freak,Megan Thee Stallion,Sexually Explicit,"Ay, big ole freak Big booty, big ole treat I'ma make him wait for the pussy Hit it 'til he big ole skeet Ay, feet on the bed I'll fuck him up in the head Suck it then look in his eyes Then the next day I might leave 'em on read Pop it, pop it Daydreaming 'bout how I rock it He hit my phone with a horse So I know that mean come over and ride it Shit, I'm on the way Ride on that dick I'm like, ""Yay"", hey Usually I like to fuck But tonight we gon' make love 'cause you bae Nobody know, I fuck with him on the low We never show up together but I text him when I'm ready to go Ay, I had a couple of shots at the bar I'm finna play with that dick in the car I got him swerving and breaking the law These windows tinted so nobody saw Ain't nobody freak like me Give ya what you need like me Ain't nobody got on they tip, tip toes and rode to the tip like me I got 'em addicted, he fiendin' My body a drug and he need it He begging me for the treatment He throw a fit when I leave 'em He like ""Baby lemme rub, lemme rub on ya Can I get a lil' love, lil' love from ya"" My body addictive it's driving him crazy Think I got run from ya Don't know what to do without it He fucking with you, I doubt it They don't understand, I'm all in his head And it's nothing to do with my body You been fiendin' for me lately Going brazy, brazy I got what you need I'm gon' give it to you baby Going brazy, brazy Fiendin' for me lately I got what you need I'ma give you what you craving See I'm a big ole freak, I love to talk my shit And you must be a pussy boy, if you get offended Bitch it's Tina Snow, they love me 'cause I'm cold And you can't take no nigga from me I got mind control I want to fuck in the mirror, I like to look at your face when you in it Come in the room and I'm giving commands I am the captain and he the lieutenant I need that neck like a mothafuckin' pendant Need you to spit, make that motherfucker glisten Tell him ""Shut up!"" make that motherfucker listen I bet he gon' like it, he won't do no tripping Ain't nobody freak like me (hell nah) Give ya what you need like me (hell nah) Ain't nobody got on they tip, tip toes and rode to the tip like me (huh) I got 'em addicted, he feindin' My body a drug and he need it He begging me for the treatment He throw a fit when I leave him ""And baby lemme rub, lemme rub on ya Can I get a lil' love, lil' love from ya"" My body addictive it's driving him crazy I think I got run from him Don't know what to do without it He fucking with you, I doubt it They don't understand that I'm all in his head And it's nothing to do with my body I can tell You been feindin' for me lately Going brazy, brazy I got what you need I'm gon' give it to you baby Going brazy, brazy Feindin' for me lately I got what you need I'ma give you what you craving"
Not Tonight,Lil' Kim,Sexually Explicit,"Put me in Chanels, kept me out nice Called suckin' his dick, rockin' the mic It was somethin' about this dude I couldn't stand Somethin' that coulda made his ass a real man Somethin' I wanted, but I never was pushy The motherfucker never ate my pussy I don't want dick tonight Eat my pussy right Uh, uh, uh, uh Lil' Kim, Lil' Kim, bring it to me now I know a dude named Ron Doo push a Q Had a wild crew on Flatbush & Avenue U Had a weed spot, used to pump African black He used to, seal his bag so his workers wouldn't tap I used to see him, in the tunnel, with fuckers at dawn Whisper in my ear he wanna get his fuck on I dug him, so I fucked him, it wasn't nuttin' He wanted me to suck him, but I didn't, I ain't frontin' The sex was wack, a four-stroke creep I jumped on the dick, rode his ass to sleep He called next week, askin' why I ain't beep him ""I thought your ass was still sleepin'"" He laughed, told me he bought a new Path Could he come over right fast and fuck my pretty ass? I'll pass, nigga, the dick was trash If sex was record sales you would be double glass The only way you seein' me is if you eatin' me Downtown, taste my love like Horace Brown Tryin' to impress me with your 5 G stones I give you ten G's, nigga, if ya leave me alone, screamin' I don't want dick tonight Eat my pussy right I don't want dick tonight Eat my pussy right The moral of the story is this You ain't lickin' this, you ain't stickin' this And I got witnesses, ask any nigga I been with They ain't hit shit 'til they stuck they tongue in this I ain't with that frontin' shit I got my own Benz, I got my own ends, immediate friends Me and my girls rock worlds, some big niggas Fuck for car keys, and double-digit figures Good dick I cherish, I could be blunt I treat it like it's precious, I ain't gonna front For limp dick niggas, that's frontin' like they Willy Suck my pussy 'til they kill me, you feel me? I don't want dick tonight Eat my pussy right I don't want dick tonight Eat my pussy right I don't want dick tonight"
Work it,Missy Elliot,Sexually Explicit,"DJ please, pick up your phone I'm on the request line This is a Missy Elliott one time exclusive Come on Is it worth it? Let me work it I put my thang down, flip it and reverse it Ti esrever dna ti pilf nwod gnaht ym tup i Ti esrever dna ti pilf nwod gnaht ym tup i If you got a big, let me search ya To find out how hard I gotta work ya Ti esrever dna ti pilf nwod gnaht ym tup i Ti esrever dna ti pilf nwod gnaht ym tup i Come on I'd like to get to know ya, so I could show yaou Put the pussy on ya, like I told ya Gimme all your numbers so I can phone ya Your girl acting stank then call me over Not on the bed, lay me on your sofa Call before you come, I need to shave my chocha You do or you don't or you will or you won't ya Go downtown and eat it like a vulture See my hips and my tips, don't ya? See my ass and my lips, don't ya? Lost a few pounds in my waist for ya This the kinda beat that go ra-ta-ta Ra-ta-ta-ta, ta-ta-ta-ta-ta Sex me so good I say, blah-blah-blah Work it! I need a glass of water Boy, oh boy, it's good to know ya Is it worth it? Let me work it I put my thing down, flip it and reverse it Ti esrever dna ti pilf nwod gnaht ym tup i Ti esrever dna ti pilf nwod gnaht ym tup i If you got a big, let me search ya To find out how hard I gotta work ya Ti esrever dna ti pilf nwod gnaht ym tup i Ti esrever dna ti pilf nwod gnaht ym tup i Come on If you're a fly gal, get your nails done Get a pedicure, get your hair did Boy lift it up, let's make a toast, ah Let's get drunk, it's gon' bring us closer Don't I look like a Halle Berry poster? See the Belvedere playin' tricks on ya Girlfriend wanna be like me never You won't find a bitch that's even better I make it hot as Las Vegas weather Listen up close while I take you backwards Sdrawkcab ti ekat ot ekil yssiM yaw eht hctaw I'm not a prostitute but I can give you what you want I love your braids and your mouth full of fonts Love the way my ass go ba-bump, ba-bump-bump Keep your eyes on my ba-bump, ba-bump-bump You think you can handle this badonka-donk-donk Take my thong off and my ass go boom Cut the lights off so you see what I can do (Come on) Is it worth it? Let me work it I put my thing down, flip it and reverse it Ti esrever dna ti pilf nwod gnaht ym tup i Ti esrever dna ti pilf nwod gnaht ym tup i If you got a big, let me search ya To find out how hard I gotta work ya Ti esrever dna ti pilf nwod gnaht ym tup i Ti esrever dna ti pilf nwod gnaht ym tup i (Come on) Boys, boys, all type of boys Black, White, Puerto Rican, Chinese boys Why-thai, thai-o-toy-o-thai-thai Rock-thai, thai-o-toy-o-thai-thai (C'mon) Girls, girls, get the cash If it's nine to five or shakin' you ass Ain't no shame ladies, do your thing Just make sure you ahead of the game Just 'cause I got a lot of fame super Prince couldn't get me change my name papa Kunta Kinte, a slave again, no sir Picture blacks sayin', oh yes'a massa Picture Lil' Kim dating a pastor Minute Man, Big Red can outlast ya Who is the best? I don't have to ask you When I come out, you won't even matter Why you act dumb like ugh, duh So you act dumb like ugh, duh And the drummer boy go pa-rum, pa-pom-pom Give you some-some-some of this Cinnabon (Come on) Is it worth it? Let me work it I put my thing down, flip it and reverse it Ti esrever dna ti pilf nwod gnaht ym tup i Ti esrever dna ti pilf nwod gnaht ym tup i If you got a big, let me search ya To find out how hard I gotta work ya Ti esrever dna ti pilf nwod gnaht ym tup i Ti esrever dna ti pilf nwod gnaht ym tup i (Come on) To my fellas (Ooh, good god) I like the way you work that To my ladies (Woo) You sure know how to work that (Good god)"
"My Neck, My Back",Khia,Sexually Explicit,"All you ladies pop your pussy like this Shake your body, don't stop, don't miss All you ladies pop your pussy like this Shake your body, don't stop, don't miss Just do it, do it, do it, do it, do it now Lick it good suck this pussy, just like you should Right now, lick it good Suck this pussy just like you should My neck, my back Lick my pussy and my crack My neck, my back Lick my pussy and my crack My neck, my back Lick my pussy and my crack My neck, my back Lick my pussy and my crack My neck, my back Lick my pussy and my crack First you gotta put your neck into it Don't stop, just do, do it Then you roll your tongue, from the crack back to the front Then suck it off til I shake and cum, nigga Make sure I keep bustin' nuts, nigga All over your face and stuff Slow head show me so much love The best head comes from a thug The dick good, dick big and long Slow fuckin' til the crack of dawn On the edge makin' faces 'n stuff Through the night, making so much love Dead sleep when the sun comes up So, lick it now, lick it good Lick this pussy just like you should Right now, lick it good Lick this pussy just like you should My neck, my back Lick my pussy and my crack My neck, my back Lick my pussy and my crack You might roll dubs, you might have g's But fuck that nigga, get on your knees A bitch like me moans and screams Thug misses know what I mean At the club so fresh, so clean Hoes hatin' niggas watchin' me So, hot in the line, on green With a unit on my face, so mean I gotta pick which nigga I need To suck a thug nigga satisfy me Try me nigga, I'll make you see Them bitches ain't got shit on me So, lick it now, lick it good Lick this pussy just like you should Right now, lick it good Lick this pussy just like you should My neck, my back Lick my pussy and my crack My neck, my back Lick my pussy and my crack So, lick it now, lick it good Suck this pussy just like you should Right now, lick it good Suck this pussy just like you should My neck, my back Lick my pussy and my crack My neck, my back Lick my pussy and my crack My neck, my back (Then you roll your tongue, from the crack back to the front Then suck it off til I shake and cum, nigga Make sure I keep bustin' nuts, nigga) My neck, my back (Then you roll your tongue, from the crack back to the front Then suck it off til I shake and cum, nigga Make sure I keep bustin' nuts, nigga) My neck, my back Lick my pussy and my crack My neck, my back Lick my pussy and my crack My neck, my back Lick my pussy and my crack My neck, my back Lick my pussy and my crack"
Look back at me ,Trina,Sexually Explicit,I got an ass so big like the sun Hope you got a mile for a dick I wanna run Slap it in my face shove it down my throat Nigga where your blunt I can make this pussy smoke I know how to fuck I know how to ride I can spin around and keep the dick still inside Now your mouth wide you looking real scared I'm a man-eater headhunter I'm prepared Yea you running now you running I'ma put this pussy on you Just like this Put this pussy in yo jaws now smack Like its Thanksgiving and it ain't coming back Collard greens neck-bones nigga chew this ass Both hold inspections dont stop till it pass Licky licky licky licky licky for an hour I'ma make it rain for you here's a golden shower Smell it like a flower my pussy is a rose Come a little closer I wanna fuck your nose If you want it you can get it If you with it I'ma hit it Flip it rub it up and smack it Look back at it I'm a addict Look back at me [x4] Girl Look back at me [x4] Girl Look back at me girl [x3] If you want it you can get it If you with it I'ma hit it Flip it rub it up and smack it Look back at it I'm a addict Third bred red broad in my bed Up all night took pipe gave head Ass like Trina face like Mya Shot it on her chest she said daddy aim higher Put jimmy on her titties and I bust off wicked Gave her mayonaise on the face pearl necklace We turned the camera on we did a sex scene She call me R. Kelly and I call her Thats my bitch right there nigga Hand full of ass and a fist full of weed Ass in the air face down on your knees I'm a beast when I fuck I'ma put it on your gut I'ma have you saying no please let me get up I'ma make you say that's the spot don't take it out I'm feeling like Akinyele put it in your mouth Kanye tell them gold digging hoes that we pimping in the south And it ain't payday unless nuts in your mouth Back it up drop down to your knees Bring it up real slow make one cheek freeze [x2] If you want it you can get it If you with it I'ma hit it Flip it rub it up and smack it Look back at it I'm a addict Look look look look back at you for what I'm trying to concentrate on busting me a nut I'm thinking about Trav I'm thinking about Bo Little dick nigga shit hurry up I gotta go Since they in prison pussy nigga make me know That you ain't a virgin and you done this before Fuck me till you can't breath till you swim and scream help Its your lucky day all the lifeguards left Little dick ass nigga You better get your face down here and eat this pussy Dribble these titties on your lips While you're doing that put your hand around my hips Bounce me like a ball slam me like K-mart On and off the dick better known for breaking hearts Nigga call a cab I'm finna pack my shit and leave Shouldn't have let you fuck now thats some shit I can't believe Wasting my time fucking all off beat Pussy nigga next time when you see me don't speak Back it up drop down to your knees Bring it up real slow make one cheek freeze [x2] If you want it you can get it If you with it I'ma hit it Flip it rub it up and smack it Look back at it I'm a addict
Pussycat,Missy elliot,Sexually Explicit,"It's all for the love But there is more things that keep a man satisfied And I know the remedy just to cure him From cheating even if he tried, hey [Chorus] Pussy don't fail me now I gotta turn this nigga out So he don't want nobody else But me and only me Pussy don't fail me now I gotta turn this nigga out So he don't want nobody else But me and only me [Verse 2] I know he's a man and men have intentions To sleep with someone else But that's why when I make love to him I'm ruling Try to give him my best, hey [Chorus] Pussy don't fail me now (fail me now) I gotta turn this nigga out So he don't want nobody else (nobody) But me and only me (ohh) Pussy don't fail me now (fail me now) I gotta turn this nigga out So he don't want nobody else (ohh) But me and only me [Bridge] As long as the pussy good it's alright Ain't gotta worry bout my man Cos he know mine's is one of a kind And that's why he keeps staying The pussy good, it's alright Ain't gotta worry bout my man Cos he know mine's is one of a kind And that's why he keeps staying [Verse 3: Missy distorted (Missy)] Look ma Yeah, you got that bomb and work That prissy stuff, glad it ain't that gushy stuff (that gushy stuff?) I don't like the mushy butts I wish we was like Puffy over Jennifer Him and her too much like I and we (And what that mean?) We just love the booty All we see, in 3D, is um Booty, booty, booty, booty [Missy] Oh really? Do me, do me, do me, do me Run through me like flood go through an I-V That's good I'm a make sure you never will leave Can I put my booty, booty up in your spaghetti daddy Are you ready for some cavi from me Pussy, gushy, mushy, what more you want from me Cuz my feelings hit the ceiling what you want me to be? Oh please pussy don't mess it up for me, come on [Chorus] Pussy don't fail me now (fail me, now) I gotta turn this nigga out So he don't want nobody else (nobody else) But me and only me Pussy don't fail me now (fail me now) I gotta turn this nigga out So he don't want nobody else But me and only me [Outro: Missy- Spoken] Pussy don't fail me now I wanna turn this nigga out So he don't want nobody else But me and only me Pussy don't fail me now I wanna turn this nigga out So he don't want nobody else But me and only me"
Pussy Talk,City Girls,Sexually Explicit,"Boy, this pussy talk English, Spanish, and French (Hello) Boy, this pussy talk Euros, dollars, and yens Boy, this pussy talk Bentleys, Rovers, and Benz Boy, this pussy fly private to islands, to M's Boy, this pussy talk Birkin, Gucci, Chanel (Eeow) Boy, this pussy talk Louis, Pucci, YSL (YSL) Boy, this pussy make movies, wetter than a whale Boy, this pussy be choosing, draft, NFL (Ching, ching) [Post-Chorus: Yung Miami] Don't nothin' but this cash make this pussy talk (Ayy, ayy) Don't nothin' but a bag make this pussy talk (Ayy) Don't nothin' but this cash make this pussy talk (Oww) Don't nothin' but a bag make this pussy talk [Verse 1: JT] Ayy, look, this pussy extort these niggas (Facts) Pussy be like, ""Can you afford me, nigga?"" Broke niggas in my face, pussy ignore these niggas For the bag, pussy speak poetry, nigga Boy, this pussy from the hood (Ayy) This pussy from the projects This pussy so ghetto, this pussy speak ebonics This pussy snatched back, playin' tug-of-war Turn a nigga gang-gang, he gon' go to war (Gang, gang) You want this pussy real bad? Say, ""Pretty please"" (Please) Cop me baguetties, make my wrist freeze (Ice) Got niggas overseas goin' crazy 'bout me (Loco) Jamaican, Cuban, French, Japanese [Chorus: Yung Miami] Boy, this pussy talk English, Spanish, and French (Hello) Boy, this pussy talk Euros, dollars, and yens Boy, this pussy talk Bentleys, Rovers, and Benz Boy, this pussy fly private to islands, to M's Boy, this pussy talk Birkin, Gucci, Chanel (Eeow) Boy, this pussy talk Louis, Pucci, YSL (YSL) Boy, this pussy make movies, wetter than a whale Boy, this pussy be choosing, draft, NFL (Ching, ching) [Post-Chorus: Yung Miami] Don't nothin' but this cash make this pussy talk (Talk) Don't nothin' but a bag make this pussy talk (Pussy talk) Don't nothin' but this cash make this pussy talk (Pussy talk) Don't nothin' but a bag make this pussy talk (Pussy talk) [Verse 2: Doja Cat] Pussy talented, it do cartwheels And he pay 'cause he like how that part feel (Yeah) Pussy give speeches, heartfelt Said the pussy really talk like it Garfield (It do) Said I got a way with my lips Poker face, daddy, you know I don't play with my chips (Mmm) Play with my food, play with my tits No game so the money make me play with my clit (Ahh) Talk out your act, you gon' get that cat If that shit lookin' fat, throw another stack She break her back, you know, put it on the map Wanna make that shit talk? You should probably bring a bag [Chorus: Yung Miami] Boy, this pussy talk English, Spanish, and French (Hello) Boy, this pussy talk Euros, dollars, and yens Boy, this pussy talk Bentleys, Rovers, and Benz Boy, this pussy fly private to islands, to M's Boy, this pussy talk Birkin, Gucci, Chanel (Eeow) Boy, this pussy talk Louis, Pucci, YSL (YSL) Boy, this pussy make movies, wetter than a whale Boy, this pussy be choosing, draft, NFL (Ching, ching) [Post-Chorus: Yung Miami] Don't nothin' but this cash make this pussy talk (Talk) Don't nothin' but a bag make this pussy talk (Pussy talk) Don't nothin' but this cash make this pussy talk (Pussy talk) Don't nothin' but a bag make this pussy talk (Pussy talk) [Verse 3: Yung Miami] Ugh, boy, this pussy bilingual (Hola) Antisocial, this pussy don't mingle (Period) Don't go broke or this pussy going single ""Ho ho ho,"" pussy turn him Kris Kringle (Santa) I bet your nigga disappear if this pussy speak (Yup) Ho, we can't be friends if your pussy cheap (Nah) Spend a million with this pussy, you could get a week (Uh) I ain't talkin' 'bout dinner when I tell him, ""Eat"" Ugh, boy, this pussy worth a felony (Yup) This pussy goin' places pussy niggas never be My nigga told me, ""This pussy made a better me"" (Summer) I feed a dog ass nigga, pussy Pedigree [Chorus: Yung Miami] Boy, this pussy talk English, Spanish, and French (Hello) Boy, this pussy talk Euros, dollars, and yens Boy, this pussy talk Bentleys, Rovers, and Benz Boy, this pussy fly private to islands, to M's Boy, this pussy talk Birkin, Gucci, Chanel (Eeow) Boy, this pussy talk Louis, Pucci, YSL (YSL) Boy, this pussy make movies, wetter than a well Boy, this pussy be choosing, draft, NFL (Ching, ching) [Post-Chorus: Yung Miami] Don't nothin' but this cash make this pussy talk (Talk) Don't nothin' but a bag make this pussy talk (Pussy talk) Don't nothin' but this cash make this pussy talk (Pussy talk) Don't nothin' but a bag make this pussy talk (Pussy talk)"
Cybersex,Doja Cat,Sexually Explicit,"I wanna touch on you You see me in my room Wish you were here right now All of the things I'd do I wanna get freaky on camera I love when we get freaky on camera We freak on the cam Love at first sight, just a link to the 'Gram Pussy all pink with a tan And I play with it 'til my middle fingers are cramped up Swipe right 'cause he thick and he handsome Love a sneak peek when you freak, can we cam up? No shot to the screen, put your hands up Make it pop in your face like a Samsung And that's my nigga, better yet, that's my hitta He don't lick goons and if you do you could go missin' Met him on Tinder, he just swiped left on bitches And he don't even scroll through Insta 'Less he going through my pictures I wanna touch on you You see me in my room Wish you were here right now All of the things I'd do I wanna get freaky on camera I love when we get freaky on camera Is you into that? (Into that, is you into that? Uh-huh) Let's break the internet (internet, on the internet, oh ohh) We do it the best (it the best, doin' it the best, uh-uhh) When we have cybersex (cybersex, havin' cybersex) (Oh-ooh) When he off work, he calling me on Skype (yeah!) Trust me when I meet him, I'm fucking him on sight (yeah) Lemme see you can beat it, I'm feelin' just like Mike (okay, okay) Huh-oh, stuff that 'til I drown in all of your pics Can't scroll down 'cause some of them dicks Nigga, my parents going through my shit (my shit, my shit) Huh-oh, can't give head, you give me the Facetime Nigga, you a creep, I saw you on Dateline You ain't gettin pussy, you fucking a A.I Huh-oh, what a time to be alive Living in the future, blinging on my hotline I wanna touch on you You see me in my room Wish you were here right now All of the things I'd do I wanna get freaky on camera I love when we get freaky on camera I wanna touch on you You see me in my room Wish you were here right now All of the things I'd do I wanna get freaky on camera I love when we get freaky on camera Is you into that? (Into that, is you into that? Uh-huh) Let's break the internet (internet, on the internet, oh oh) We do it the best (it the best, doin' it the best, uh-uh) When we have cybersex (cybersex, havin' cybersex) (Oh-ooh)"
